** CONVERTED FROM /Users/nuhajabakhanji/Dropbox/SR Research PTB Demos/pursuit/DEMO.edf using edfapi 3.0 MacOS X Sep 19 2007 on Mon May  9 08:19:15 2011
** DATE: Mon May  9 08:18:51 2011
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.56 Aug 18 2010
** CAMERA: EyeLink CL Version 1.4 Sensor=BI9
** SERIAL NUMBER: CL1-77T66
** CAMERA_CONFIG: 77T66140.SCD
** Recorded by EyelinkToolbox demo-experiment
**

MSG	1975645 DISPLAY_COORDS 0 0 1568 945
INPUT	2027351	120
MSG	2027371 TRIALID 1
INPUT	2027372	120
INPUT	2027631	120
MSG	2029751 DRIFTCORRECT R REPEATING due to large error
MSG	2030453 DRIFTCORRECT R RIGHT at 262,473  OFFSET 3489926.25 deg.  99999696.0,99999528.0 pix.
INPUT	2030832	120
MSG	2030886 RECCFG CR 1000 2 1 R
MSG	2030886 ELCLCFG MTABLER
MSG	2030886 GAZE_COORDS 0.00 0.00 1568.00 945.00
MSG	2030886 THRESHOLDS R 110 226
MSG	2030886 ELCL_PROC CENTROID (3)
MSG	2030886 ELCL_PCR_PARAM 5 3.0
START	2030887 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
MSG	2030887 !MODE RECORD CR 1000 2 1 R
INPUT	2030887	120
2031032	  745.1	  471.5	 1000.0	...
2031033	  745.1	  471.5	 1000.0	...
2031034	  745.1	  471.5	 1000.0	...
2031035	  745.1	  471.5	 1000.0	...
2031036	  745.1	  471.5	 1000.0	...
2031037	  745.1	  471.5	 1000.0	...
2031038	  745.1	  471.5	 1000.0	...
2031039	  745.1	  471.5	 1000.0	...
2031040	  745.1	  471.5	 1000.0	...
2031041	  745.1	  471.5	 1000.0	...
2031042	  745.1	  471.5	 1000.0	...
2031043	  745.1	  471.5	 1000.0	...
2031044	  745.1	  471.5	 1000.0	...
2031045	  745.1	  471.5	 1000.0	...
2031046	  745.1	  471.5	 1000.0	...
2031047	  745.1	  471.5	 1000.0	...
2031048	  745.1	  471.5	 1000.0	...
2031049	  745.1	  471.5	 1000.0	...
2031050	  745.1	  471.5	 1000.0	...
2031051	  745.1	  471.5	 1000.0	...
2031052	  745.1	  471.5	 1000.0	...
2031053	  745.1	  471.5	 1000.0	...
2031054	  745.1	  471.5	 1000.0	...
2031055	  745.1	  471.5	 1000.0	...
2031056	  745.1	  471.5	 1000.0	...
2031057	  745.1	  471.5	 1000.0	...
2031058	  745.1	  471.5	 1000.0	...
2031059	  745.1	  471.5	 1000.0	...
2031060	  745.1	  471.5	 1000.0	...
MSG	2031061 SYNCTIME
MSG	2031061 !V TARGET_POS TARG1 (261, 473) 1 0
2031061	  745.1	  471.5	 1000.0	...
2031062	  745.1	  471.5	 1000.0	...
2031063	  745.1	  471.5	 1000.0	...
2031064	  745.1	  471.5	 1000.0	...
2031065	  745.1	  471.5	 1000.0	...
2031066	  745.1	  471.5	 1000.0	...
2031067	  745.1	  471.5	 1000.0	...
2031068	  745.1	  471.5	 1000.0	...
2031069	  745.1	  471.5	 1000.0	...
2031070	  745.1	  471.5	 1000.0	...
2031071	  745.1	  471.5	 1000.0	...
MSG	2031072 SYNCTIME
MSG	2031072 !V TARGET_POS TARG1 (263, 473) 1 0
2031072	  745.1	  471.5	 1000.0	...
2031073	  745.1	  471.5	 1000.0	...
2031074	  745.1	  471.5	 1000.0	...
2031075	  745.1	  471.5	 1000.0	...
2031076	  745.1	  471.5	 1000.0	...
2031077	  745.1	  471.5	 1000.0	...
2031078	  745.1	  471.5	 1000.0	...
2031079	  745.1	  471.5	 1000.0	...
2031080	  745.1	  471.5	 1000.0	...
2031081	  745.1	  471.5	 1000.0	...
2031082	  745.1	  471.5	 1000.0	...
2031083	  745.1	  471.5	 1000.0	...
2031084	  745.1	  471.5	 1000.0	...
2031085	  745.1	  471.5	 1000.0	...
2031086	  745.1	  471.5	 1000.0	...
2031087	  745.1	  471.5	 1000.0	...
MSG	2031088 SYNCTIME
MSG	2031088 !V TARGET_POS TARG1 (263, 473) 1 0
2031088	  745.1	  471.5	 1000.0	...
2031089	  745.1	  471.5	 1000.0	...
2031090	  745.1	  471.5	 1000.0	...
2031091	  745.1	  471.5	 1000.0	...
2031092	  745.1	  471.5	 1000.0	...
2031093	  745.1	  471.5	 1000.0	...
2031094	  745.1	  471.5	 1000.0	...
2031095	  745.1	  471.5	 1000.0	...
2031096	  745.1	  471.5	 1000.0	...
2031097	  745.1	  471.5	 1000.0	...
2031098	  745.1	  471.5	 1000.0	...
